,INPUT_DESCRIPTION,MEASUREMENT_TIME,VALUE
884,Battery Full Charged Capacity (mWh),2020-11-20 07:55:23.301,69720
885,Battery Cycle Count,2020-11-20 07:55:23.301,12
886,Battery Left (%).,2020-11-20 07:55:23.369,96
887,Battery Flag,2020-11-20 07:55:23.369,1
888,Battery Life Time (Seconds).,2020-11-20 07:55:23.369,17688
889,Battery Charging.,2020-11-20 07:55:23.369,0
890,Battery Discharging.,2020-11-20 07:55:23.369,1
891,Battery MaxCapacity (mWh).,2020-11-20 07:55:23.369,69720
892,Battery estimatedTime (Seconds).,2020-11-20 07:55:23.369,17688
893,Battery Current Capacity (mWh),2020-11-20 07:55:23.369,66600
894,Battery Voltage (mv),2020-11-20 07:55:23.369,16839
895,Battery Rate (mW),2020-11-20 07:55:23.369,-12157
896,Battery Tag,2020-11-20 07:55:53.300,5
897,Battery Designed Capacity (mWh) ,2020-11-20 07:55:53.300,70000
898,Battery Full Charged Capacity (mWh),2020-11-20 07:55:53.300,69720
899,Battery Cycle Count,2020-11-20 07:55:53.300,12
900,Battery Left (%).,2020-11-20 07:55:53.368,95
901,Battery Flag,2020-11-20 07:55:53.368,1
902,Battery Life Time (Seconds).,2020-11-20 07:55:53.368,18133
903,Battery Charging.,2020-11-20 07:55:53.368,0
904,Battery Discharging.,2020-11-20 07:55:53.368,1
905,Battery MaxCapacity (mWh).,2020-11-20 07:55:53.368,69720
906,Battery estimatedTime (Seconds).,2020-11-20 07:55:53.368,18133
907,Battery Current Capacity (mWh),2020-11-20 07:55:53.368,66490
908,Battery Voltage (mv),2020-11-20 07:55:53.368,16773
909,Battery Rate (mW),2020-11-20 07:55:53.368,-13468
910,Battery Tag,2020-11-20 07:56:23.300,5
911,Battery Designed Capacity (mWh) ,2020-11-20 07:56:23.300,70000
912,Battery Full Charged Capacity (mWh),2020-11-20 07:56:23.300,69720
913,Battery Cycle Count,2020-11-20 07:56:23.300,12
914,Battery Left (%).,2020-11-20 07:56:23.367,95
915,Battery Flag,2020-11-20 07:56:23.367,1
916,Battery Life Time (Seconds).,2020-11-20 07:56:23.367,18133
917,Battery Charging.,2020-11-20 07:56:23.367,0
918,Battery Discharging.,2020-11-20 07:56:23.367,1
919,Battery MaxCapacity (mWh).,2020-11-20 07:56:23.367,69720
920,Battery estimatedTime (Seconds).,2020-11-20 07:56:23.367,18133
921,Battery Current Capacity (mWh),2020-11-20 07:56:23.367,66360
922,Battery Voltage (mv),2020-11-20 07:56:23.367,16819
923,Battery Rate (mW),2020-11-20 07:56:23.367,-14363
924,Battery Tag,2020-11-20 07:56:53.299,5
925,Battery Designed Capacity (mWh) ,2020-11-20 07:56:53.299,70000
926,Battery Full Charged Capacity (mWh),2020-11-20 07:56:53.299,69720
927,Battery Cycle Count,2020-11-20 07:56:53.299,12
928,Battery Left (%).,2020-11-20 07:56:53.365,95
929,Battery Flag,2020-11-20 07:56:53.365,1
930,Battery Life Time (Seconds).,2020-11-20 07:56:53.365,18133
931,Battery Charging.,2020-11-20 07:56:53.365,0
932,Battery Discharging.,2020-11-20 07:56:53.365,1
933,Battery MaxCapacity (mWh).,2020-11-20 07:56:53.365,69720
934,Battery estimatedTime (Seconds).,2020-11-20 07:56:53.365,18133
935,Battery Current Capacity (mWh),2020-11-20 07:56:53.365,66280
936,Battery Voltage (mv),2020-11-20 07:56:53.365,16833
937,Battery Rate (mW),2020-11-20 07:56:53.365,-12052
938,Battery Tag,2020-11-20 07:57:23.299,5
939,Battery Designed Capacity (mWh) ,2020-11-20 07:57:23.299,70000
940,Battery Full Charged Capacity (mWh),2020-11-20 07:57:23.299,69720
941,Battery Cycle Count,2020-11-20 07:57:23.299,12
942,Battery Left (%).,2020-11-20 07:57:23.367,95
943,Battery Flag,2020-11-20 07:57:23.367,1
944,Battery Life Time (Seconds).,2020-11-20 07:57:23.367,18133
945,Battery Charging.,2020-11-20 07:57:23.367,0
946,Battery Discharging.,2020-11-20 07:57:23.367,1
947,Battery MaxCapacity (mWh).,2020-11-20 07:57:23.367,69720
948,Battery estimatedTime (Seconds).,2020-11-20 07:57:23.367,18133
949,Battery Current Capacity (mWh),2020-11-20 07:57:23.367,66170
950,Battery Voltage (mv),2020-11-20 07:57:23.367,16796
951,Battery Rate (mW),2020-11-20 07:57:23.367,-12244
952,Battery Tag,2020-11-20 07:57:53.299,5
953,Battery Designed Capacity (mWh) ,2020-11-20 07:57:53.299,70000
954,Battery Full Charged Capacity (mWh),2020-11-20 07:57:53.299,69720
955,Battery Cycle Count,2020-11-20 07:57:53.299,12
956,Battery Left (%).,2020-11-20 07:57:53.366,95
957,Battery Flag,2020-11-20 07:57:53.366,1
958,Battery Life Time (Seconds).,2020-11-20 07:57:53.366,18133
959,Battery Charging.,2020-11-20 07:57:53.366,0
960,Battery Discharging.,2020-11-20 07:57:53.366,1
961,Battery MaxCapacity (mWh).,2020-11-20 07:57:53.366,69720
962,Battery estimatedTime (Seconds).,2020-11-20 07:57:53.366,18133
963,Battery Current Capacity (mWh),2020-11-20 07:57:53.366,66070
964,Battery Voltage (mv),2020-11-20 07:57:53.366,16797
965,Battery Rate (mW),2020-11-20 07:57:53.366,-12530
966,Battery Tag,2020-11-20 07:58:23.299,5
967,Battery Designed Capacity (mWh) ,2020-11-20 07:58:23.299,70000
968,Battery Full Charged Capacity (mWh),2020-11-20 07:58:23.299,69720
969,Battery Cycle Count,2020-11-20 07:58:23.299,12
970,Battery Left (%).,2020-11-20 07:58:23.365,95
971,Battery Flag,2020-11-20 07:58:23.365,1
972,Battery Life Time (Seconds).,2020-11-20 07:58:23.365,18133
973,Battery Charging.,2020-11-20 07:58:23.365,0
974,Battery Discharging.,2020-11-20 07:58:23.365,1
975,Battery MaxCapacity (mWh).,2020-11-20 07:58:23.365,69720
976,Battery estimatedTime (Seconds).,2020-11-20 07:58:23.365,18133
977,Battery Current Capacity (mWh),2020-11-20 07:58:23.365,65970
978,Battery Voltage (mv),2020-11-20 07:58:23.365,16812
979,Battery Rate (mW),2020-11-20 07:58:23.365,-11919
980,Battery Tag,2020-11-20 07:58:53.298,5
981,Battery Designed Capacity (mWh) ,2020-11-20 07:58:53.298,70000
982,Battery Full Charged Capacity (mWh),2020-11-20 07:58:53.298,69720
983,Battery Cycle Count,2020-11-20 07:58:53.298,12
984,Battery Left (%).,2020-11-20 07:58:53.365,95
985,Battery Flag,2020-11-20 07:58:53.365,1
986,Battery Life Time (Seconds).,2020-11-20 07:58:53.365,18133
987,Battery Charging.,2020-11-20 07:58:53.365,0
988,Battery Discharging.,2020-11-20 07:58:53.365,1
989,Battery MaxCapacity (mWh).,2020-11-20 07:58:53.365,69720
990,Battery estimatedTime (Seconds).,2020-11-20 07:58:53.365,18133
991,Battery Current Capacity (mWh),2020-11-20 07:58:53.365,65870
992,Battery Voltage (mv),2020-11-20 07:58:53.365,16795
993,Battery Rate (mW),2020-11-20 07:58:53.365,-12663
994,Battery Tag,2020-11-20 07:59:53.297,5
995,Battery Designed Capacity (mWh) ,2020-11-20 07:59:53.297,70000
996,Battery Full Charged Capacity (mWh),2020-11-20 07:59:53.297,69720
997,Battery Cycle Count,2020-11-20 07:59:53.297,12
998,Battery Left (%).,2020-11-20 07:59:53.365,94
999,Battery Flag,2020-11-20 07:59:53.365,1
1000,Battery Life Time (Seconds).,2020-11-20 07:59:53.365,18726
1001,Battery Charging.,2020-11-20 07:59:53.365,0
1002,Battery Discharging.,2020-11-20 07:59:53.365,1
1003,Battery MaxCapacity (mWh).,2020-11-20 07:59:53.365,69720
1004,Battery estimatedTime (Seconds).,2020-11-20 07:59:53.365,18726
1005,Battery Current Capacity (mWh),2020-11-20 07:59:53.365,65700
1006,Battery Voltage (mv),2020-11-20 07:59:53.365,16852
1007,Battery Rate (mW),2020-11-20 07:59:53.365,-9723
1008,Battery Tag,2020-11-20 08:00:53.296,5
1009,Battery Designed Capacity (mWh) ,2020-11-20 08:00:53.296,70000
1010,Battery Full Charged Capacity (mWh),2020-11-20 08:00:53.296,69720
1011,Battery Cycle Count,2020-11-20 08:00:53.296,12
1012,Battery Left (%).,2020-11-20 08:00:53.362,94
1013,Battery Flag,2020-11-20 08:00:53.362,1
1014,Battery Life Time (Seconds).,2020-11-20 08:00:53.362,18726
1015,Battery Charging.,2020-11-20 08:00:53.362,0
1016,Battery Discharging.,2020-11-20 08:00:53.362,1
1017,Battery MaxCapacity (mWh).,2020-11-20 08:00:53.362,69720
1018,Battery estimatedTime (Seconds).,2020-11-20 08:00:53.362,18726
1019,Battery Current Capacity (mWh),2020-11-20 08:00:53.362,65520
1020,Battery Voltage (mv),2020-11-20 08:00:53.362,16804
1021,Battery Rate (mW),2020-11-20 08:00:53.362,-11914
1022,Battery Tag,2020-11-20 08:01:23.295,5
1023,Battery Designed Capacity (mWh) ,2020-11-20 08:01:23.295,70000
1024,Battery Full Charged Capacity (mWh),2020-11-20 08:01:23.295,69720
1025,Battery Cycle Count,2020-11-20 08:01:23.295,12
1026,Battery Left (%).,2020-11-20 08:01:23.363,94
1027,Battery Flag,2020-11-20 08:01:23.363,1
1028,Battery Life Time (Seconds).,2020-11-20 08:01:23.363,18726
1029,Battery Charging.,2020-11-20 08:01:23.363,0
1030,Battery Discharging.,2020-11-20 08:01:23.363,1
1031,Battery MaxCapacity (mWh).,2020-11-20 08:01:23.363,69720
1032,Battery estimatedTime (Seconds).,2020-11-20 08:01:23.363,18726
1033,Battery Current Capacity (mWh),2020-11-20 08:01:23.363,65410
1034,Battery Voltage (mv),2020-11-20 08:01:23.363,16733
1035,Battery Rate (mW),2020-11-20 08:01:23.363,-11997
1036,Battery Tag,2020-11-20 08:01:53.295,5
1037,Battery Designed Capacity (mWh) ,2020-11-20 08:01:53.295,70000
1038,Battery Full Charged Capacity (mWh),2020-11-20 08:01:53.295,69720
1039,Battery Cycle Count,2020-11-20 08:01:53.295,12
1040,Battery Left (%).,2020-11-20 08:01:53.363,94
1041,Battery Flag,2020-11-20 08:01:53.363,1
1042,Battery Life Time (Seconds).,2020-11-20 08:01:53.363,18726
1043,Battery Charging.,2020-11-20 08:01:53.363,0
1044,Battery Discharging.,2020-11-20 08:01:53.363,1
1045,Battery MaxCapacity (mWh).,2020-11-20 08:01:53.363,69720
1046,Battery estimatedTime (Seconds).,2020-11-20 08:01:53.363,18726
1047,Battery Current Capacity (mWh),2020-11-20 08:01:53.363,65320
1048,Battery Voltage (mv),2020-11-20 08:01:53.363,16814
1049,Battery Rate (mW),2020-11-20 08:01:53.363,-11181
1050,Battery Tag,2020-11-20 08:02:23.294,5
1051,Battery Designed Capacity (mWh) ,2020-11-20 08:02:23.294,70000
1052,Battery Full Charged Capacity (mWh),2020-11-20 08:02:23.294,69720
1053,Battery Cycle Count,2020-11-20 08:02:23.294,12
1054,Battery Left (%).,2020-11-20 08:02:23.363,94
1055,Battery Flag,2020-11-20 08:02:23.363,1
1056,Battery Life Time (Seconds).,2020-11-20 08:02:23.363,18726
1057,Battery Charging.,2020-11-20 08:02:23.363,0
1058,Battery Discharging.,2020-11-20 08:02:23.363,1
1059,Battery MaxCapacity (mWh).,2020-11-20 08:02:23.363,69720
1060,Battery estimatedTime (Seconds).,2020-11-20 08:02:23.363,18726
1061,Battery Current Capacity (mWh),2020-11-20 08:02:23.363,65240
1062,Battery Voltage (mv),2020-11-20 08:02:23.363,16818
1063,Battery Rate (mW),2020-11-20 08:02:23.363,-9703
1064,Battery Tag,2020-11-20 08:02:53.294,5
1065,Battery Designed Capacity (mWh) ,2020-11-20 08:02:53.294,70000
1066,Battery Full Charged Capacity (mWh),2020-11-20 08:02:53.294,69720
1067,Battery Cycle Count,2020-11-20 08:02:53.294,12
1068,Battery Left (%).,2020-11-20 08:02:53.359,93
1069,Battery Flag,2020-11-20 08:02:53.359,1
1070,Battery Life Time (Seconds).,2020-11-20 08:02:53.359,24629
1071,Battery Charging.,2020-11-20 08:02:53.359,0
1072,Battery Discharging.,2020-11-20 08:02:53.359,1
1073,Battery MaxCapacity (mWh).,2020-11-20 08:02:53.359,69720
1074,Battery estimatedTime (Seconds).,2020-11-20 08:02:53.359,24629
1075,Battery Current Capacity (mWh),2020-11-20 08:02:53.359,65160
1076,Battery Voltage (mv),2020-11-20 08:02:53.359,16797
1077,Battery Rate (mW),2020-11-20 08:02:53.359,-9423
1078,Battery Tag,2020-11-20 08:03:23.293,5
1079,Battery Designed Capacity (mWh) ,2020-11-20 08:03:23.293,70000
1080,Battery Full Charged Capacity (mWh),2020-11-20 08:03:23.293,69720
1081,Battery Cycle Count,2020-11-20 08:03:23.293,12
1082,Battery Left (%).,2020-11-20 08:03:23.359,93
1083,Battery Flag,2020-11-20 08:03:23.359,1
1084,Battery Life Time (Seconds).,2020-11-20 08:03:23.359,24629
1085,Battery Charging.,2020-11-20 08:03:23.359,0
1086,Battery Discharging.,2020-11-20 08:03:23.359,1
1087,Battery MaxCapacity (mWh).,2020-11-20 08:03:23.359,69720
1088,Battery estimatedTime (Seconds).,2020-11-20 08:03:23.359,24629
1089,Battery Current Capacity (mWh),2020-11-20 08:03:23.359,65090
1090,Battery Voltage (mv),2020-11-20 08:03:23.359,16817
1091,Battery Rate (mW),2020-11-20 08:03:23.359,-9114
1092,Battery Tag,2020-11-20 08:03:53.291,5
1093,Battery Designed Capacity (mWh) ,2020-11-20 08:03:53.291,70000
1094,Battery Full Charged Capacity (mWh),2020-11-20 08:03:53.291,69720
1095,Battery Cycle Count,2020-11-20 08:03:53.291,12
1096,Battery Left (%).,2020-11-20 08:03:53.357,93
1097,Battery Flag,2020-11-20 08:03:53.357,1
1098,Battery Life Time (Seconds).,2020-11-20 08:03:53.357,24629
1099,Battery Charging.,2020-11-20 08:03:53.357,0
1100,Battery Discharging.,2020-11-20 08:03:53.357,1
1101,Battery MaxCapacity (mWh).,2020-11-20 08:03:53.357,69720
1102,Battery estimatedTime (Seconds).,2020-11-20 08:03:53.357,24629
1103,Battery Current Capacity (mWh),2020-11-20 08:03:53.357,65010
1104,Battery Voltage (mv),2020-11-20 08:03:53.357,16811
1105,Battery Rate (mW),2020-11-20 08:03:53.357,-9699
1106,Battery Tag,2020-11-20 08:04:23.291,5
1107,Battery Designed Capacity (mWh) ,2020-11-20 08:04:23.291,70000
1108,Battery Full Charged Capacity (mWh),2020-11-20 08:04:23.291,69720
1109,Battery Cycle Count,2020-11-20 08:04:23.291,12
1110,Battery Left (%).,2020-11-20 08:04:23.358,93
1111,Battery Flag,2020-11-20 08:04:23.358,1
1112,Battery Life Time (Seconds).,2020-11-20 08:04:23.358,24629
1113,Battery Charging.,2020-11-20 08:04:23.358,0
1114,Battery Discharging.,2020-11-20 08:04:23.358,1
1115,Battery MaxCapacity (mWh).,2020-11-20 08:04:23.358,69720
1116,Battery estimatedTime (Seconds).,2020-11-20 08:04:23.358,24629
1117,Battery Current Capacity (mWh),2020-11-20 08:04:23.358,64930
1118,Battery Voltage (mv),2020-11-20 08:04:23.358,16801
1119,Battery Rate (mW),2020-11-20 08:04:23.358,-9744
1120,Battery Tag,2020-11-20 08:04:53.290,5
1121,Battery Designed Capacity (mWh) ,2020-11-20 08:04:53.290,70000
1122,Battery Full Charged Capacity (mWh),2020-11-20 08:04:53.290,69720
1123,Battery Cycle Count,2020-11-20 08:04:53.290,12
1124,Battery Left (%).,2020-11-20 08:04:53.357,93
1125,Battery Flag,2020-11-20 08:04:53.357,1
1126,Battery Life Time (Seconds).,2020-11-20 08:04:53.357,24629
1127,Battery Charging.,2020-11-20 08:04:53.357,0
1128,Battery Discharging.,2020-11-20 08:04:53.357,1
